trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-134.00323643978953,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.998001}",20,0,-98.1481943959868,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",20,0,-64.82627967454204,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",20,0,-125.23501103392096,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-27.82877331093607,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",20,9,-14.339297413642898,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.993020965034979}",20,0,-94.00048966830009,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",25,0,-14.521646878591856,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.991035916125874}",20,5,21.69441763237647,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",20,0,-39.677925704922856,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",20,4,22.42748162427995,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",20,8,4.93666286930387,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",20,0,-41.10640779210138,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",20,7,18.298425440588126,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.985104546362002}",20,2,-39.7752324341417,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9841194418156399}",20,0,24.742012872037467,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",25,0,27.508810947693526,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9821521870514505}",25,15,17.12891690437959,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.981170034864399}",30,6,-55.634167280887176,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",30,0,6.9439602427534375,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9792086759647052}",20,14,7.846503953041125,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9782294672887404}",20,0,-39.41191319858253,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9772512378214517}",20,0,14.35289352385549,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9762739865836302}",20,0,-36.60167579934182,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9752977125970466}",30,0,30.94444848869779,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9743224148844496}",25,15,14.831607384372624,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.9733480924695651}",25,10,23.43827863256202,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.9723747443770956}",25,11,0.18678037358751398,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.9714023696327184}",30,0,35.65747955001546,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9704309672630858}",30,0,43.51240437904454,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9694605362958226}",20,0,23.091812252312984,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9684910757595268}",25,0,31.97845889408064,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9675225846837673}",30,0,40.3173594797497,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9665550620990835}",30,16,18.505521771821602,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.9655885070369844}",20,0,24.504761424340938,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9646229185299474}",20,14,8.824917350767567,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.9636582956114175}",25,0,31.562958681379385,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9626946373158061}",30,0,-5.935078399078028,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9617319426784903}",20,6,20.139974380494674,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.9607702107358118}",20,3,25.577209015670597,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.959809440525076}",25,13,11.491248011057762,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.9588496310845509}",25,0,30.65435077147355,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9578907814534663}",20,0,21.932281628557323,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9569328906720129}",20,0,5.458175430015915,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9559759577813408}",30,21,13.436581899134909,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.9550199818235595}",20,0,27.30444835638205,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.954064961841736}",20,16,4.66374695084935,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.9531108968798943}",35,0,41.398411767421194,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.9521577859830144}",35,11,35.92448693653593,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.9512056281970314}",25,0,32.35858140785445,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9502544225688343}",20,4,23.97517194064112,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.9493041681462654}",30,0,17.805010071120666,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9483548639781192}",20,0,24.954852345898193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.947406509114141}",20,0,32.90159697477736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9464591026050269}",20,2,22.918547911980774,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.9455126435024219}",20,5,18.160860026741133,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.9445671308589194}",20,6,23.494366017062458,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.9436225637280605}",20,5,21.74953571479581,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.9426789411643325}",20,6,13.54827386345279,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.9417362622231682}",20,16,7.333460119645805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.9407945259609449}",35,0,43.02060864458723,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9398537314349841}",30,6,28.175839818475172,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.9389138777035491}",25,0,20.179535766978574,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9379749638258454}",25,0,29.202484463420383,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9370369888620197}",20,5,0.4419760614855821,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.9360999518731576}",35,0,44.43926981173281,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9351638519212845}",20,0,23.042799577730158,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9342286880693632}",30,0,30.941998488198585,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9332944593812939}",25,6,26.31804358808511,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.9323611649219126}",20,0,19.20253437734132,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.9314288037569907}",20,0,11.944188530212433,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9304973749532336}",20,11,-1.8058419618065553,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.9295668775782804}",25,1,35.78470553424332,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.9286373107007021}",30,12,22.790931842208746,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.9277086733900014}",25,0,28.338308622230606,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.9267809647166114}",20,0,25.039351012306263,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.9258541837518948}",30,0,-2.063347943259966,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9249283295681429}",30,0,26.14129796216669,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9240034012385747}",25,4,24.914978963919406,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.9230793978373362}",20,0,21.67065413662519,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.9221563184394989}",25,0,26.426833794966452,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9212341621210594}",20,5,21.23045665698305,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.9203129279589383}",20,0,21.09675781114588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.9193926150309794}",25,0,36.0716203928326,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9184732224159483}",25,13,21.120208371247603,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.9175547491935324}",25,0,30.324273247360672,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.9166371944443389}",35,20,22.8656854107523,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.9157205572498945}",25,0,28.68038476688583,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9148048366926447}",20,0,35.18484147141455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.913890031855952}",30,8,36.593413116100244,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.912976141824096}",30,7,35.31829285666693,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.912063165682272}",20,0,28.5396253903172,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.9111511025165897}",20,0,24.568700172970964,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.9102399514140731}",20,14,13.336408355892297,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.9093297114626591}",30,0,34.27245357549591,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.9084203817511963}",20,11,15.585923319571327,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.9075119613694451}",30,2,40.316422117195124,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.9066044494080757}",20,1,24.05876063502406,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.9056978449586677}",25,9,25.724898413580448,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.9047921471137089}",20,0,27.091416671512434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
