trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.17095820202431,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.3204466906678,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,17,-56.247892308401944,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.52848692612966,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,26,-3.5208895709510113,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.19624404545144,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.67694971308109,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.06718719257645,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.7806308917526,"{0: 11, 1: 4, 2: 8, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.12598079881502,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,9,-44.12250277936443,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.00997611126611,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,1,-51.98667963585328,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.66366924185132,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-266.1628365166584,"{0: 14, 1: 4, 2: 6, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.6057679299254,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.75033360241666,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.87166686360945,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.18083168434802,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,15,-50.96150836223239,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.46669504323296,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.01277364312193,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.60858150661423,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-111.36817690740482,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,19,-0.737881341052278,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.87832984183201,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-176.301018373257,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.04002627745837,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.81098221138318,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.72133679317834,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
